Original Word,Adjusted Word,Conclusion,Original Time Slice,Processed Time Slice
there,N/A,miss,"[0.66, 0.90]sec",N/A
once,N/A,miss,"[0.90, 1.41]sec",N/A
was,N/A,miss,"[1.44, 1.68]sec",N/A
a,ah,close,"[1.68, 1.80]sec","[1.68, 8.73]sec"
man,N/A,miss,"[1.80, 2.22]sec",N/A
from,N/A,miss,"[2.31, 2.61]sec",N/A
spain,N/A,miss,"[2.61, 3.18]sec",N/A
who,N/A,miss,"[3.57, 3.75]sec",N/A
liked,N/A,miss,"[3.75, 4.23]sec",N/A
to,N/A,miss,"[4.26, 4.47]sec",N/A
dance,N/A,miss,"[4.47, 4.95]sec",N/A
in,N/A,miss,"[5.01, 5.16]sec",N/A
the,N/A,miss,"[5.16, 5.34]sec",N/A
rain,N/A,miss,"[5.34, 5.82]sec",N/A
when,N/A,miss,"[6.69, 7.05]sec",N/A
offered,N/A,miss,"[7.11, 7.53]sec",N/A
an,N/A,miss,"[7.71, 7.92]sec",N/A
umbrella,N/A,miss,"[7.92, 8.46]sec",N/A
he,N/A,miss,"[8.91, 9.13]sec",N/A
said,N/A,miss,"[9.13, 9.54]sec",N/A
no,N/A,miss,"[9.96, 10.17]sec",N/A
way,N/A,miss,"[10.17, 10.50]sec",N/A
fella,N/A,miss,"[10.50, 10.89]sec",N/A
and,no,wrong,"[11.55, 11.70]sec","[11.55, 11.94]sec"
was,N/A,miss,"[11.70, 1.68]sec",N/A
then,N/A,miss,"[11.94, 12.24]sec",N/A
washed,N/A,miss,"[12.60, 12.87]sec",N/A
down,N/A,miss,"[12.87, 13.29]sec",N/A
the,N/A,miss,"[13.53, 5.34]sec",N/A
drain,N/A,miss,"[13.71, 14.25]sec",N/A

Total Scores,,,,
Same,0,,,
Close,1,,,
Wrong,1,,,
Made-up,0,,,
Miss,28,,,
