Original Word,Adjusted Word,Conclusion,Original Time Slice,Processed Time Slice
there,N/A,miss,"[0.66, 0.90]sec",N/A
N/A,there,made up,N/A,"[0.69, 0.93]sec"
once,once,same,"[0.90, 1.41]sec","[0.90, 1.44]sec"
a,N/A,miss,"[1.68, 1.80]sec",N/A
N/A,a,made up,N/A,"[1.71, 1.83]sec"
man,man,same,"[1.80, 2.22]sec","[1.80, 2.25]sec"
from,N/A,miss,"[2.31, 2.61]sec",N/A
N/A,from,made up,N/A,"[2.34, 2.64]sec"
spain,spain,same,"[2.61, 3.18]sec","[2.61, 3.21]sec"
who,N/A,miss,"[3.57, 3.75]sec",N/A
N/A,who,made up,N/A,"[3.60, 3.78]sec"
liked,liked,same,"[3.75, 4.23]sec","[3.75, 4.26]sec"
to,N/A,miss,"[4.26, 4.47]sec",N/A
N/A,to,made up,N/A,"[4.29, 4.50]sec"
dance,dance,same,"[4.47, 4.95]sec","[4.47, 4.98]sec"
in,N/A,miss,"[5.01, 5.16]sec",N/A
N/A,in,made up,N/A,"[5.04, 5.22]sec"
the,the,same,"[5.16, 5.34]sec","[5.16, 5.34]sec"
rain,rain,same,"[5.34, 5.82]sec","[5.34, 5.82]sec"
when,when,same,"[6.69, 7.05]sec","[6.69, 7.05]sec"
offered,offered,same,"[7.11, 7.53]sec","[7.11, 7.50]sec"
an,N/A,miss,"[7.71, 7.92]sec",N/A
N/A,an,made up,N/A,"[7.74, 7.95]sec"
umbrella,umbrella,same,"[7.92, 8.46]sec","[7.92, 8.46]sec"
he,N/A,miss,"[8.91, 9.13]sec",N/A
N/A,he,made up,N/A,"[8.97, 9.18]sec"
said,said,same,"[9.13, 9.54]sec","[9.13, 9.48]sec"
no,N/A,miss,"[9.96, 10.17]sec",N/A
N/A,no,made up,N/A,"[9.99, 10.20]sec"
way,way,same,"[10.17, 10.50]sec","[10.17, 10.50]sec"
fella,N/A,miss,"[10.50, 10.89]sec",N/A
and,that,wrong,"[11.55, 11.70]sec","[11.55, 11.70]sec"
was,was,same,"[11.70, 1.68]sec","[11.70, 1.71]sec"
then,being,wrong,"[11.94, 12.24]sec","[11.94, 12.24]sec"
washed,N/A,miss,"[12.60, 12.87]sec",N/A
down,done,close,"[12.87, 13.29]sec","[12.87, 13.29]sec"
drain,betray,wrong,"[13.71, 14.25]sec","[13.71, 14.22]sec"

Total Scores,,,,
Same,13,,,
Close,1,,,
Wrong,3,,,
Made-up,9,,,
Miss,11,,,
